,Country,Climate,HouseType,RennovationDegree,Number
355,DE,N,AB,003,DE.N.AB.06.Gen.ReEx.001.003
356,DE,N,MFH,001,DE.N.MFH.01.Gen.ReEx.001.001
357,DE,N,MFH,002,DE.N.MFH.01.Gen.ReEx.001.002
358,DE,N,MFH,003,DE.N.MFH.01.Gen.ReEx.001.003
359,DE,N,MFH,001,DE.N.MFH.02.Gen.ReEx.001.001
360,DE,N,MFH,002,DE.N.MFH.02.Gen.ReEx.001.002
361,DE,N,MFH,003,DE.N.MFH.02.Gen.ReEx.001.003
362,DE,N,MFH,001,DE.N.MFH.03.Gen.ReEx.001.001
363,DE,N,MFH,002,DE.N.MFH.03.Gen.ReEx.001.002
364,DE,N,MFH,003,DE.N.MFH.03.Gen.ReEx.001.003
365,DE,N,MFH,001,DE.N.MFH.04.Gen.ReEx.001.001
366,DE,N,MFH,002,DE.N.MFH.04.Gen.ReEx.001.002
367,DE,N,MFH,003,DE.N.MFH.04.Gen.ReEx.001.003
368,DE,N,MFH,001,DE.N.MFH.05.Gen.ReEx.001.001
369,DE,N,MFH,002,DE.N.MFH.05.Gen.ReEx.001.002
370,DE,N,MFH,003,DE.N.MFH.05.Gen.ReEx.001.003
371,DE,N,MFH,001,DE.N.MFH.06.Gen.ReEx.001.001
372,DE,N,MFH,002,DE.N.MFH.06.Gen.ReEx.001.002
373,DE,N,MFH,003,DE.N.MFH.06.Gen.ReEx.001.003
374,DE,N,MFH,001,DE.N.MFH.07.Gen.ReEx.001.001
375,DE,N,MFH,002,DE.N.MFH.07.Gen.ReEx.001.002
376,DE,N,MFH,003,DE.N.MFH.07.Gen.ReEx.001.003
377,DE,N,MFH,001,DE.N.MFH.08.Gen.ReEx.001.001
